_id,X,Y,FID,Name_of_Sc,Level_,Status,SchSponsor,Type1,Type2,Type3,PupilTeach,ClassrmRat,ToiletRati,No_Classrm,BoysToilet,GirlsToilet,TeachersTo,TotalToile,TotalBoys,TotalGirls,TotalEnrol,GO_KTSC_M,GOK_TSC_F,authorityM,authorityF,PTA_BOG_M,PTA_BOG_F,OthersM,OthersF,NoTeaching,NonTeachin,Province,District,Division,Location,Costituenc,Latitude,Longitude
18,35.58,0.37,10018,KAMWAGO PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,37.9,37.9,37.9,8,4,4,1,0,0,0,303,2,6,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.37,35.58
19,35.78,0.03,10019,ACK EMMANUEL PRI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,14.2,16,16,8,4,4,3,0,0,0,128,0,0,0,0,0,0,6,3,0,2,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,0.03,35.78
20,35.58,0.36,10020,KAPSAMICH PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,17,17,34,8,2,2,1,0,0,0,136,4,4,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.36,35.58
21,35.79,0.02,10021,GREENVIEW PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8,8,6.7,5,3,3,2,0,0,0,40,0,0,0,0,0,0,3,2,3,0,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,0.02,35.79
22,35.57,0.36,10022,LELBOINET PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,18.9,21.3,28.3,8,2,4,1,0,0,0,170,3,6,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.36,35.57
23,35.76,0,10023,SOLIAN PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,23.5,28.6,33.3,14,6,6,2,0,0,0,400,5,12,0,0,0,0,0,0,1,2,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,0,35.76
24,35.58,0.35,10024,CHEBIREI PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,30.3,26.9,60.5,9,2,2,1,0,0,0,242,4,4,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.35,35.58
25,35.75,0,10025,NESWIN DAYSTAR PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.2,14.2,35.5,5,1,1,2,0,0,0,71,0,0,0,0,0,0,1,4,1,2,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,0,35.75
26,35.74,-0.03,10026,SABATIA PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,31.4,28.8,21.6,12,9,7,2,0,0,0,345,5,6,0,0,0,0,0,0,5,6,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,-0.03,35.74
27,35.58,0.35,10027,JONACH CHRISTIAN ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,MIXED,DAY ONLY,ORDINARY,2.8,2.8,4.7,5,1,2,1,0,0,0,14,0,0,0,0,0,0,1,4,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.35,35.58
28,35.79,-0.02,10028,LEBOLOS PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,24.1,32.1,32.1,9,3,6,2,0,0,0,289,4,8,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,-0.02,35.79
29,35.58,0.34,10029,KIPSAINA PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,39.6,33,24.8,12,7,9,3,0,0,0,396,4,6,0,0,0,0,0,0,1,1,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,0.34,35.58
30,35.79,-0.02,10030,ST TERESA PRI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,0,5.7,8.5,3,1,1,1,0,0,0,17,0,0,0,0,0,0,0,0,1,0,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,-0.02,35.79
31,35.57,0.33,10031,KIPSANAI PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,0,33.5,25.8,10,6,7,1,0,0,0,335,0,0,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,0.33,35.57
32,35.78,0,10032,KOKWOMOI PRI SCH,PRIMARY SCHOOL,PUBLIC,COMMUNITY,MIXED,DAY ONLY,ORDINARY,13.8,17.3,23,8,3,3,2,0,0,0,138,5,5,0,0,0,0,0,0,0,0,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,0,35.78
33,35.57,0.32,10033,CHEPKETERET PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,36.6,33.3,30.5,11,5,7,4,0,0,0,366,7,3,0,0,0,0,0,0,1,1,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,0.32,35.57
34,35.79,0.01,10034,KIPKABER PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,17.4,17.4,29,5,2,1,1,0,0,0,87,0,5,0,0,0,0,0,0,0,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,0.01,35.79
35,35.56,0.29,10035,KAPCHEBELEL PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,22,22,19.6,8,3,6,2,0,0,0,176,4,4,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,0.29,35.56
36,35.81,0.01,10036,KAPKITET PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,25.9,25.9,20.7,8,4,6,2,0,0,0,207,4,4,0,0,0,0,0,0,1,0,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,0.01,35.81
37,35.56,0.34,10037,SIKINWO ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,MIXED,DAY ONLY,ORDINARY,1,2.5,1.3,2,2,2,2,0,0,0,5,0,0,0,0,0,0,2,3,2,1,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,0.34,35.56
38,35.8,-0.01,10038,KOKORWONIN PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,15.8,13.6,15.8,7,3,3,2,0,0,0,95,2,4,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,-0.01,35.8
39,35.55,0.35,10039,KAMOSONG PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,28.2,23.1,16.9,11,7,8,4,0,0,0,254,2,7,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.35,35.55
40,35.81,-0.02,10040,ST MARY'S PAROCHIAL PRI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,7,8.4,21,5,1,1,1,0,0,0,42,0,0,0,0,0,0,1,5,0,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,-0.02,35.81
41,35.56,0.36,10041,KAMELIL PRI,PRIMARY SCHOOL,PUBLIC,COMMUNITY,MIXED,DAY ONLY,ORDINARY,28.7,32.3,32.3,8,4,4,2,0,0,0,258,4,5,0,0,0,0,0,0,0,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.36,35.56
42,35.82,-0.02,10042,KILOMBE PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,29.1,32.8,32.8,8,4,4,2,0,0,0,262,3,6,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,-0.02,35.82
43,35.55,0.37,10043,SITOTWO PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,31.1,35,28,8,4,6,2,0,0,0,280,1,8,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.37,35.55
44,35.83,-0.02,10044,KANJULUL PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,31,31,41.3,8,3,3,2,0,0,0,248,3,5,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,-0.02,35.83
45,35.55,0.36,10045,KAPSERERE HIGHLAND ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,MIXED,DAY & BOARDING,ORDINARY,28.4,35.5,23.7,8,7,5,4,0,0,0,284,0,0,0,0,0,0,5,5,9,7,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.36,35.55
46,35.84,-0.08,10046,NAKURTAKWEI PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED, ,ORDINARY,33.7,29.5,59,8,2,2,1,0,0,0,236,6,1,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,-0.08,35.84
47,35.56,0.33,10047,KAPCHEPTEK PR,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,30.3,30.3,121,8,1,1,1,0,0,0,242,3,5,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,0.33,35.56
48,35.87,-0.05,10048,ORINIE PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED, ,ORDINARY,30.6,19.6,45.8,14,3,3,1,0,0,0,275,3,6,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,-0.05,35.87
49,35.54,0.35,10049,KAPALWAT PR,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,40,31.4,25.9,14,7,10,3,0,0,0,440,4,7,0,0,0,0,0,0,2,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,0.35,35.54
50,35.87,-0.03,10050,MUSERECHI PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,30.9,44.1,51.5,7,3,3,2,0,0,0,309,3,7,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,-0.03,35.87
51,35.53,0.35,10051,KAPLETINGI PR,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,38.5,20.5,25.7,15,4,8,2,0,0,0,308,4,4,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.35,35.53
52,35.83,0.02,10052,AIC ESAGERI PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,34.9,42.4,21.2,14,12,16,4,0,0,0,593,4,13,0,0,0,0,0,0,4,2,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPTOIM,0.02,35.83
53,35.52,0.34,10053,KIPCHILOI PR,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,0,47.7,33,9,6,7,2,0,0,0,429,0,0,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,0.34,35.52
54,35.83,0.02,10054,ESAGERI UNIT FOR THE DEAF,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY & BOARDING,ORDINARY,3.6,4.5,9,4,1,1,1,0,0,0,18,4,1,0,0,0,0,0,0,0,0,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPTOIM,0.02,35.83
55,35.52,0.32,10055,KAPKUT PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,30.4,33.8,43.4,9,3,4,2,0,0,0,304,2,8,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,0.32,35.52
56,35.83,0.01,10056,MANDINA PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,28.9,32.5,26,8,4,6,2,0,0,0,260,2,7,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,0.01,35.83
57,35.5,0.3,10057,LOLGARIN PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,30.5,33.9,38.1,9,3,5,2,0,0,0,305,4,6,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,0.3,35.5
58,35.84,0.04,10058,KIPTOIM PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,29.5,38.6,50.2,13,4,6,2,0,0,0,502,5,12,0,0,0,0,0,0,0,0,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPTOIM,0.04,35.84
59,35.52,0.26,10059,KIPRIRIA PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,39.1,35.5,35.5,11,4,7,2,0,0,0,391,4,6,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,0.26,35.52
60,35.84,0.04,10060,CRESCENT ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22.4,31.3,34.8,10,4,5,2,0,0,0,313,0,0,0,0,0,0,7,7,6,6,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPTOIM,0.04,35.84
61,35.5,0.24,10061,KIPKABUS DOWNS PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,48,22.6,6.1,17,30,33,4,0,0,0,384,3,5,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,TUMEIYO,0.24,35.5
62,35.86,0.08,10062,SAGASAGIK PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,30.3,35.8,49.3,11,4,4,2,0,0,0,394,6,7,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,LEMBUS-KIPTOIM,0.08,35.86
63,35.5,0.26,10063,AIC SAMABUL PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,30.1,26.4,42.2,8,2,3,2,0,0,0,211,7,0,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,0.26,35.5
64,35.82,0.08,10064,SAGAT PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,23.2,19,26.1,11,4,4,1,0,0,0,209,4,5,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,LEMBUS-KIPTOIM,0.08,35.82
65,35.54,0.26,10065,CHEPKOSOM PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,25.1,25.1,25.1,8,2,6,2,0,0,0,201,1,7,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,TUMEIYO,0.26,35.54
66,35.81,0.04,10066,KIMAMOI PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,18.2,20.5,82,8,1,1,1,0,0,0,164,3,6,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,0.04,35.81
67,35.54,0.27,10067,POYWECH PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,30.1,33.9,27.1,8,3,7,1,0,0,0,271,6,3,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,0.27,35.54
68,35.53,0.29,10068,LOBOEN PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,23.9,29.9,19.9,8,5,7,2,0,0,0,239,5,5,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,0.29,35.53
69,35.59,0.03,10069,CHEMOSWON PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,27.9,24.4,27.9,8,2,5,3,0,0,0,195,3,4,0,0,0,0,0,0,1,0,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,0.03,35.59
70,35.55,0.29,10070,KIPKABUS FOREST PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,22.1,24.9,33.2,8,3,3,2,0,0,0,199,6,3,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,0.29,35.55
71,35.58,0.03,10071,TAMBARAS PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,31.7,27.8,31.7,8,3,4,3,0,0,0,222,5,2,0,0,0,0,0,0,1,0,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,0.03,35.58
72,35.56,0.25,10072,KIMWOGO PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,26.4,26.4,15.1,8,5,9,4,0,0,0,211,4,4,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,TUMEIYO,0.25,35.56
73,35.56,0.05,10073,AIC SEGUTON PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,46.6,40.4,55.1,15,6,5,4,0,0,0,606,6,7,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,0.05,35.56
74,35.56,0.22,10074,KAPSOWEK PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,43.7,38.3,30.6,8,2,8,3,0,0,0,306,3,4,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,MAOI,0.22,35.56
